"palabra","media_agrado","media_activacion","media_imaginabilidad","sd_agrado","sd_activacion","sd_imaginabilidad","tipo"
"población",1.8,2,2.6,0.4472,0.7071,0.5477,"sustantivo"
"obra",2.2,2.4,2.4,0.4472,0.5477,0.8944,"sustantivo"
"dormir",3,1.4,3,0,0.8944,0,"verbo"
"dar",2.8,3,3,0.4472,0,0,"verbo"
"realizar",2.6,3,2.8,0.5477,0,0.4472,"verbo"
"haber",2,1.8,1.8,0,0.8367,0.4472,"verbo"
"amor",3,2.6,2.4,0,0.5477,0.8944,"sustantivo"
"aparecer",2,2.6,2.6,0,0.8944,0.5477,"verbo"
"seguir",2.4,2.6,2.8,0.5477,0.8944,0.4472,"verbo"
"especie",2.2,1.8,2.6,0.4472,0.4472,0.8944,"sustantivo"
"dejar",1.6,3,3,0.5477,0,0,"verbo"
"nombre",2.1667,1.5,2.1667,0.4082,0.5477,0.7528,"sustantivo"
"solo",1.4,1.8,3,0.5477,0.4472,0,"adjetivo"
"corazón",2.8,2.4,3,0.4472,0.5477,0,"sustantivo"
"lograr",3,3,2.6,0,0,0.5477,"verbo"
"entender",3,2.8,2.6,0,0.4472,0.5477,"verbo"
"acercar",2.2,3,2.6,0.4472,0,0.5477,"verbo"
"grande",2,1.8,2.6,0,0.4472,0.8944,"adjetivo"
"ojo",2.2,1.8,3,0.4472,0.4472,0,"sustantivo"
"bueno",3,2.2,2.6,0,0.8367,0.5477,"adjetivo"
"trabajar",2.6,3,3,0.5477,0,0,"verbo"
"permitir",2.8,3,2.4,0.4472,0,0.8944,"verbo"
"junto",2.6,2.2,2.6,0.5477,0.4472,0.5477,"adverbio"
"hablar",2.2,3,3,0.4472,0,0,"verbo"
"hacer",2.4,3,2.8,0.5477,0,0.4472,"verbo"
"tiempo",2,2,2.2,0.7071,0.7071,0.8367,"sustantivo"
"nuevo",2.8,1.6,2.6,0.4472,0.5477,0.5477,"adjetivo"
"mirada",2.4,2.6,2.8,0.5477,0.5477,0.4472,"sustantivo"
"entrar",2.2,3,3,0.4472,0,0,"verbo"
"cuerpo",2,2.2,3,0,0.4472,0,"sustantivo"
"tipo",1.8,2,1.2,0.4472,0,0.4472,"sustantivo"
"cosa",2,2,1.6,0,0,0.8944,"sustantivo"
"volver",1.6,2.2,2.4,0.5477,1.0954,0.5477,"verbo"
"propio",2.4,2,2.6,0.5477,0.7071,0.5477,"adjetivo"
"más",2.8,2.2,2.2,0.4472,0.4472,0.8367,"adverbio"
"llamar",2.2,3,3,0.4472,0,0,"verbo"
"canción",3,2,3,0,1,0,"sustantivo"
"alcanzar",3,3,2.8,0,0,0.4472,"verbo"
"pensar",2.8,2.6,3,0.4472,0.8944,0,"verbo"
"agua",2.6,2,3,0.5477,0.7071,0,"sustantivo"
"aire",2.6,2,2.2,0.5477,0.7071,1.0954,"sustantivo"
"jugar",3,3,3,0,0,0,"verbo"
"voz",2.4,2.8,2.8,0.5477,0.4472,0.4472,"sustantivo"
"poder",2.8,2.8,2.2,0.4472,0.4472,1.0954,"verbo"
"sentar",2.4,2.6,2.8,0.5477,0.8944,0.4472,"verbo"
"mar",2.8,2.6,3,0.4472,0.8944,0,"sustantivo"
"mirar",2.4,2.8,3,0.5477,0.4472,0,"verbo"
"río",2.6,2.4,2.8,0.5477,0.8944,0.4472,"sustantivo"
"dolor",1,2.6,2.8,0,0.5477,0.4472,"sustantivo"
"caso",2,1.8,1.4,0,0.4472,0.8944,"sustantivo"
"mantener",1.8,3,1.6,0.4472,0,0.8944,"verbo"
"historia",2.4,2,2,0.5477,0.7071,1,"sustantivo"
"región",2,1.8,1.6,0,0.4472,0.8944,"sustantivo"
"abrir",2.4,3,3,0.5477,0,0,"verbo"
