palabra,media_agrado,media_activacion,media_imaginabilidad,sd_agrado,sd_activacion,sd_imaginabilidad,tipo
población,1.8,2,2.6,0.4472,0.7071,0.5477,sustantivo
obra,2.2,2.4,2.4,0.4472,0.5477,0.8944,sustantivo
amor,3,2.6,2.4,0,0.5477,0.8944,sustantivo
especie,2.2,1.8,2.6,0.4472,0.4472,0.8944,sustantivo
nombre,2.1667,1.5,2.1667,0.4082,0.5477,0.7528,sustantivo
solo,1.4,1.8,3,0.5477,0.4472,0,adjetivo
corazón,2.8,2.4,3,0.4472,0.5477,0,sustantivo
grande,2,1.8,2.6,0,0.4472,0.8944,adjetivo
ojo,2.2,1.8,3,0.4472,0.4472,0,sustantivo
bueno,3,2.2,2.6,0,0.8367,0.5477,adjetivo
junto,2.6,2.2,2.6,0.5477,0.4472,0.5477,adverbio
tiempo,2,2,2.2,0.7071,0.7071,0.8367,sustantivo
nuevo,2.8,1.6,2.6,0.4472,0.5477,0.5477,adjetivo
mirada,2.4,2.6,2.8,0.5477,0.5477,0.4472,sustantivo
cuerpo,2,2.2,3,0,0.4472,0,sustantivo
tipo,1.8,2,1.2,0.4472,0,0.4472,sustantivo
cosa,2,2,1.6,0,0,0.8944,sustantivo
propio,2.4,2,2.6,0.5477,0.7071,0.5477,adjetivo
más,2.8,2.2,2.2,0.4472,0.4472,0.8367,adverbio
canción,3,2,3,0,1,0,sustantivo
agua,2.6,2,3,0.5477,0.7071,0,sustantivo
aire,2.6,2,2.2,0.5477,0.7071,1.0954,sustantivo
voz,2.4,2.8,2.8,0.5477,0.4472,0.4472,sustantivo
mar,2.8,2.6,3,0.4472,0.8944,0,sustantivo
río,2.6,2.4,2.8,0.5477,0.8944,0.4472,sustantivo
dolor,1,2.6,2.8,0,0.5477,0.4472,sustantivo
caso,2,1.8,1.4,0,0.4472,0.8944,sustantivo
historia,2.4,2,2,0.5477,0.7071,1,sustantivo
región,2,1.8,1.6,0,0.4472,0.8944,sustantivo
último,1.6,1.8,2.2,0.5477,0.8367,0.8367,adjetivo
hermano,2.6,2.2,2.8,0.5477,0.4472,0.4472,sustantivo
lugar,2,1.6,2,0,0.5477,0.7071,sustantivo
junto,2.4,2.2,2.4,0.5477,0.8367,0.8944,adjetivo
palabra,2,2.2,2.2,0,0.4472,0.8367,sustantivo
habitante,2.5,1.8333,2.8333,0.5477,0.9832,0.4082,sustantivo
fin,2,2.2,2.2,0,0.8367,0.8367,sustantivo
sólo,2,1.8,2,0.7071,0.8367,1,adverbio
alma,2.5,2,1.5,0.5477,0.8944,0.8367,sustantivo
rey,1.8333,2,2.1667,0.4082,0.6325,0.9832,sustantivo
mundo,2.4,2,2.8,0.5477,0.7071,0.4472,sustantivo
número,2.1667,1.8333,2.6667,0.4082,0.4082,0.5164,sustantivo
siguiente,2.1667,2.3333,2.1667,0.4082,0.5164,0.9832,adjetivo
trabajo,2.3333,2.6667,2.5,0.5164,0.5164,0.5477,sustantivo
nacional,2.4,2.2,2.8,0.5477,0.8367,0.4472,adjetivo
lado,2,1.6,2.4,0,0.5477,0.8944,sustantivo
punto,2,1.6,2.6,0,0.5477,0.8944,sustantivo
amigo,3,2.4,3,0,0.5477,0,sustantivo
manera,2,2,1.2,0,0.7071,0.4472,sustantivo
total,2,1.8,1.6,0,0.4472,0.5477,adjetivo
poder,2.4,2.8,2.4,0.5477,0.4472,0.8944,sustantivo
calle,2,1.6,2.8,0,0.5477,0.4472,sustantivo
forma,2.2,1.8,1.4,0.4472,0.4472,0.5477,sustantivo
sistema,2.2,2.2,1.2,0.4472,0.4472,0.4472,sustantivo
año,2,1.8,3,0,0.8367,0,sustantivo
hijo,2.6,2.2,3,0.5477,0.4472,0,sustantivo
