"","palabra","media_agrado","media_activacion","media_imaginabilidad","sd_agrado","sd_activacion","sd_imaginabilidad"
"1","población",1.8,2,2.6,0.4472,0.7071,0.5477
"2","obra",2.2,2.4,2.4,0.4472,0.5477,0.8944
"3","dormir",3,1.4,3,0,0.8944,0
"4","dar",2.8,3,3,0.4472,0,0
"5","realizar",2.6,3,2.8,0.5477,0,0.4472
"6","haber",2,1.8,1.8,0,0.8367,0.4472
"7","amor",3,2.6,2.4,0,0.5477,0.8944
"8","aparecer",2,2.6,2.6,0,0.8944,0.5477
"9","seguir",2.4,2.6,2.8,0.5477,0.8944,0.4472
"10","especie",2.2,1.8,2.6,0.4472,0.4472,0.8944
"11","dejar",1.6,3,3,0.5477,0,0
"12","nombre",2.1667,1.5,2.1667,0.4082,0.5477,0.7528
"13","solo",1.4,1.8,3,0.5477,0.4472,0
"14","corazón",2.8,2.4,3,0.4472,0.5477,0
"15","lograr",3,3,2.6,0,0,0.5477
"16","entender",3,2.8,2.6,0,0.4472,0.5477
"17","acercar",2.2,3,2.6,0.4472,0,0.5477
"18","grande",2,1.8,2.6,0,0.4472,0.8944
"19","ojo",2.2,1.8,3,0.4472,0.4472,0
"20","bueno",3,2.2,2.6,0,0.8367,0.5477
"21","trabajar",2.6,3,3,0.5477,0,0
"22","permitir",2.8,3,2.4,0.4472,0,0.8944
"23","junto",2.6,2.2,2.6,0.5477,0.4472,0.5477
"24","hablar",2.2,3,3,0.4472,0,0
"25","hacer",2.4,3,2.8,0.5477,0,0.4472
"26","tiempo",2,2,2.2,0.7071,0.7071,0.8367
"27","nuevo",2.8,1.6,2.6,0.4472,0.5477,0.5477
"28","mirada",2.4,2.6,2.8,0.5477,0.5477,0.4472
"29","entrar",2.2,3,3,0.4472,0,0
"30","cuerpo",2,2.2,3,0,0.4472,0
"31","tipo",1.8,2,1.2,0.4472,0,0.4472
"32","cosa",2,2,1.6,0,0,0.8944
"33","volver",1.6,2.2,2.4,0.5477,1.0954,0.5477
"34","propio",2.4,2,2.6,0.5477,0.7071,0.5477
"35","más",2.8,2.2,2.2,0.4472,0.4472,0.8367
"36","llamar",2.2,3,3,0.4472,0,0
"37","canción",3,2,3,0,1,0
"38","alcanzar",3,3,2.8,0,0,0.4472
"39","pensar",2.8,2.6,3,0.4472,0.8944,0
"40","agua",2.6,2,3,0.5477,0.7071,0
"41","aire",2.6,2,2.2,0.5477,0.7071,1.0954
"42","jugar",3,3,3,0,0,0
"43","voz",2.4,2.8,2.8,0.5477,0.4472,0.4472
"44","poder",2.8,2.8,2.2,0.4472,0.4472,1.0954
"45","sentar",2.4,2.6,2.8,0.5477,0.8944,0.4472
"46","mar",2.8,2.6,3,0.4472,0.8944,0
"47","mirar",2.4,2.8,3,0.5477,0.4472,0
"48","río",2.6,2.4,2.8,0.5477,0.8944,0.4472
"49","dolor",1,2.6,2.8,0,0.5477,0.4472
"50","caso",2,1.8,1.4,0,0.4472,0.8944
"51","mantener",1.8,3,1.6,0.4472,0,0.8944
"52","historia",2.4,2,2,0.5477,0.7071,1
"53","región",2,1.8,1.6,0,0.4472,0.8944
"54","abrir",2.4,3,3,0.5477,0,0
"55","último",1.6,1.8,2.2,0.5477,0.8367,0.8367
"56","hermano",2.6,2.2,2.8,0.5477,0.4472,0.4472
"57","lugar",2,1.6,2,0,0.5477,0.7071
"58","junto",2.4,2.2,2.4,0.5477,0.8367,0.8944
"59","presentar",2.4,3,2.4,0.5477,0,0.8944
"60","producir",2.4,3,2.2,0.5477,0,1.0954
"61","estar",2.8,2.2,2.4,0.4472,0.8367,0.5477
"62","venir",2.4,3,3,0.5477,0,0
"63","palabra",2,2.2,2.2,0,0.4472,0.8367
"64","habitante",2.5,1.8333,2.8333,0.5477,0.9832,0.4082
"65","fin",2,2.2,2.2,0,0.8367,0.8367
"66","sólo",2,1.8,2,0.7071,0.8367,1
"67","alma",2.5,2,1.5,0.5477,0.8944,0.8367
"68","rey",1.8333,2,2.1667,0.4082,0.6325,0.9832
"69","mundo",2.4,2,2.8,0.5477,0.7071,0.4472
"70","ser",2.4,2.4,2.2,0.5477,0.8944,0.8367
"71","número",2.1667,1.8333,2.6667,0.4082,0.4082,0.5164
"72","considerar",2.3333,2.5,1.6667,0.5164,0.8367,0.8165
"73","querer",3,2.8,2.4,0,0.4472,0.8944
"74","recordar",2.3333,2.3333,2.3333,0.5164,1.0328,1.0328
"75","amar",3,3,2.6667,0,0,0.5164
"76","creer",2.6,2.6,2.2,0.5477,0.8944,0.8367
"77","pedir",1.5,2.5,2.5,0.5477,0.8367,0.8367
"78","caer",1.5,1.6667,2.3333,0.5477,0.8165,0.8165
"79","siguiente",2.1667,2.3333,2.1667,0.4082,0.5164,0.9832
"80","trabajo",2.3333,2.6667,2.5,0.5164,0.5164,0.5477
"81","nacional",2.4,2.2,2.8,0.5477,0.8367,0.4472
"82","convertir",1.8,3,2,0.4472,0,0.7071
"83","tener",2.6,1.8,2.8,0.5477,1.0954,0.4472
"84","lado",2,1.6,2.4,0,0.5477,0.8944
"85","punto",2,1.6,2.6,0,0.5477,0.8944
"86","esperar",1.2,1,2.8,0.4472,0,0.4472
"87","amigo",3,2.4,3,0,0.5477,0
"88","manera",2,2,1.2,0,0.7071,0.4472
"89","total",2,1.8,1.6,0,0.4472,0.5477
"90","poder",2.4,2.8,2.4,0.5477,0.4472,0.8944
"91","ubicar",1.8,3,2.4,0.4472,0,0.5477
"92","crear",3,3,2.2,0,0,0.8367
"93","calle",2,1.6,2.8,0,0.5477,0.4472
"94","terminar",2.2,3,2.8,0.4472,0,0.4472
"95","forma",2.2,1.8,1.4,0.4472,0.4472,0.5477
"96","sistema",2.2,2.2,1.2,0.4472,0.4472,0.4472
"97","año",2,1.8,3,0,0.8367,0
"98","existir",2.6,2.2,1.8,0.5477,1.0954,0.8367
"99","hijo",2.6,2.2,3,0.5477,0.4472,0
"100","partir",2,2.8,2.6,0,0.4472,0.8944
"101","comenzar",2.6,3,2.8,0.5477,0,0.4472
"102","luz",2.6,2,3,0.5477,0.7071,0
"103","buscar",2.2,3,2.8,0.4472,0,0.4472
"104","paso",2,2.4,2.2,0,0.5477,0.8367
"105","vida",2.8,2.2,2.4,0.4472,1.0954,0.8944
"106","país",2.2,1.8,2.8,0.4472,0.4472,0.4472
"107","encontrar",2.6,2.6,3,0.5477,0.5477,0
"108","decidir",2.2,3,1.8,0.4472,0,0.8367
"109","parte",2,1.8,2.8,0,0.4472,0.4472
"110","noche",2.6,2,3,0.5477,0.7071,0
"111","llevar",2,2.6,3,0,0.5477,0
"112","poner",2.4,3,3,0.5477,0,0
"113","hora",2,1.4,2.2,0,0.5477,0.8367
"114","incluir",2.2,2.6,1.8,0.4472,0.5477,0.8367
"115","decir",2.2,2.8,3,0.4472,0.4472,0
"116","escuchar",2.4,2.6,2.8,0.5477,0.5477,0.4472
"117","perder",1,2.4,3,0,0.8944,0
"118","grupo",2.6,2,2.8,0.5477,1,0.4472
"119","libro",2.6,2,3,0.5477,0.7071,0
"120","fuerza",2.4,2.4,2,0.5477,0.8944,1
"121","familia",3,2.4,2.8,0,0.5477,0.4472
"122","llegar",2.4,3,3,0.5477,0,0
"123","cielo",2.8,2.4,2.6,0.4472,0.5477,0.8944
"124","zona",2,1.8,1.6,0,0.8367,0.8944
"125","verdad",2.8,2.2,1.8,0.4472,0.8367,0.8367
"126","persona",2.4,2.6,2.8,0.5477,0.5477,0.4472
"127","norte",2.2,1.6,2.4,0.4472,0.5477,0.8944
"128","hombre",2.4,2.4,3,0.5477,0.5477,0
"129","cuenta",2,1.8,2.4,0,0.8367,0.5477
"130","puerta",2,1.4,3,0,0.5477,0
"131","dirigir",2,2.8,2.2,0,0.4472,0.4472
"132","momento",2.2,1.6,1.8,0.4472,0.5477,0.8367
"133","muerte",1.2,2,2.2,0.4472,1,1.0954
"134","municipio",2,1.8,2.6,0,0.4472,0.8944
"135","tratar",2.2,2.8,1.8,0.4472,0.4472,0.8367
"136","quedar",2,1.6,2.2,0,0.8944,0.8367
